"","year","race","number","income_median","income_med_moe","income_mean","income_mean_moe","income_bracket","income_distribution"
"1430",2015,"Black Alone or in Combination",17322000,40155,969,59140,1539,"$150,000 to $199,999",3.6
"1431",2015,"Black Alone or in Combination",17322000,40155,969,59140,1539,"$200,000 and over",2.9
"1432",2014,"Black Alone or in Combination",17198000,38540,839,55800,1232,"Under $15,000",20.7
"1433",2014,"Black Alone or in Combination",17198000,38540,839,55800,1232,"$15,000 to $24,999",13.9
"1434",2014,"Black Alone or in Combination",17198000,38540,839,55800,1232,"$25,000 to $34,999",11.9
"1435",2014,"Black Alone or in Combination",17198000,38540,839,55800,1232,"$35,000 to $49,999",14.4
"1436",2014,"Black Alone or in Combination",17198000,38540,839,55800,1232,"$50,000 to $74,999",15.3
"1437",2014,"Black Alone or in Combination",17198000,38540,839,55800,1232,"$75,000 to $99,999",9
"1438",2014,"Black Alone or in Combination",17198000,38540,839,55800,1232,"$100,000 to $149,999",8.8
"1439",2014,"Black Alone or in Combination",17198000,38540,839,55800,1232,"$150,000 to $199,999",3.4
"1440",2014,"Black Alone or in Combination",17198000,38540,839,55800,1232,"$200,000 and over",2.7
"1441",2013,"Black Alone or in Combination",16723000,39314,1407,56804,2392,"Under $15,000",20.4
"1442",2013,"Black Alone or in Combination",16723000,39314,1407,56804,2392,"$15,000 to $24,999",13.3
"1443",2013,"Black Alone or in Combination",16723000,39314,1407,56804,2392,"$25,000 to $34,999",12.2
"1444",2013,"Black Alone or in Combination",16723000,39314,1407,56804,2392,"$35,000 to $49,999",14.7
"1445",2013,"Black Alone or in Combination",16723000,39314,1407,56804,2392,"$50,000 to $74,999",16.3
"1446",2013,"Black Alone or in Combination",16723000,39314,1407,56804,2392,"$75,000 to $99,999",7.6
"1447",2013,"Black Alone or in Combination",16723000,39314,1407,56804,2392,"$100,000 to $149,999",9.4
"1448",2013,"Black Alone or in Combination",16723000,39314,1407,56804,2392,"$150,000 to $199,999",3.6
"1449",2013,"Black Alone or in Combination",16723000,39314,1407,56804,2392,"$200,000 and over",2.5
"1450",2012,"Black Alone or in Combination",16559000,37614,1464,53725,1354,"Under $15,000",21.6
"1451",2012,"Black Alone or in Combination",16559000,37614,1464,53725,1354,"$15,000 to $24,999",14.2
"1452",2012,"Black Alone or in Combination",16559000,37614,1464,53725,1354,"$25,000 to $34,999",11.7
"1453",2012,"Black Alone or in Combination",16559000,37614,1464,53725,1354,"$35,000 to $49,999",13.3
"1454",2012,"Black Alone or in Combination",16559000,37614,1464,53725,1354,"$50,000 to $74,999",16.4
"1455",2012,"Black Alone or in Combination",16559000,37614,1464,53725,1354,"$75,000 to $99,999",8.9
"1456",2012,"Black Alone or in Combination",16559000,37614,1464,53725,1354,"$100,000 to $149,999",8.8
"1457",2012,"Black Alone or in Combination",16559000,37614,1464,53725,1354,"$150,000 to $199,999",3.1
"1458",2012,"Black Alone or in Combination",16559000,37614,1464,53725,1354,"$200,000 and over",2.2
"1459",2011,"Black Alone or in Combination",16165000,36871,1036,54118,1449,"Under $15,000",22.5
"1460",2011,"Black Alone or in Combination",16165000,36871,1036,54118,1449,"$15,000 to $24,999",14
"1461",2011,"Black Alone or in Combination",16165000,36871,1036,54118,1449,"$25,000 to $34,999",11.7
"1462",2011,"Black Alone or in Combination",16165000,36871,1036,54118,1449,"$35,000 to $49,999",13.5
"1463",2011,"Black Alone or in Combination",16165000,36871,1036,54118,1449,"$50,000 to $74,999",15.5
"1464",2011,"Black Alone or in Combination",16165000,36871,1036,54118,1449,"$75,000 to $99,999",9
"1465",2011,"Black Alone or in Combination",16165000,36871,1036,54118,1449,"$100,000 to $149,999",8.5
"1466",2011,"Black Alone or in Combination",16165000,36871,1036,54118,1449,"$150,000 to $199,999",3.2
"1467",2011,"Black Alone or in Combination",16165000,36871,1036,54118,1449,"$200,000 and over",2.2
"1468",2010,"Black Alone or in Combination",15909000,37786,909,53466,1212,"Under $15,000",21.9
"1469",2010,"Black Alone or in Combination",15909000,37786,909,53466,1212,"$15,000 to $24,999",13.6
"1470",2010,"Black Alone or in Combination",15909000,37786,909,53466,1212,"$25,000 to $34,999",11.3
"1471",2010,"Black Alone or in Combination",15909000,37786,909,53466,1212,"$35,000 to $49,999",14.7
"1472",2010,"Black Alone or in Combination",15909000,37786,909,53466,1212,"$50,000 to $74,999",15.2
"1473",2010,"Black Alone or in Combination",15909000,37786,909,53466,1212,"$75,000 to $99,999",10
"1474",2010,"Black Alone or in Combination",15909000,37786,909,53466,1212,"$100,000 to $149,999",8.2
"1475",2010,"Black Alone or in Combination",15909000,37786,909,53466,1212,"$150,000 to $199,999",3.1
"1476",2010,"Black Alone or in Combination",15909000,37786,909,53466,1212,"$200,000 and over",2
"1477",2009,"Black Alone or in Combination",15212000,39119,821,55281,1014,"Under $15,000",19.7
"1478",2009,"Black Alone or in Combination",15212000,39119,821,55281,1014,"$15,000 to $24,999",13.5
"1479",2009,"Black Alone or in Combination",15212000,39119,821,55281,1014,"$25,000 to $34,999",11.8
"1480",2009,"Black Alone or in Combination",15212000,39119,821,55281,1014,"$35,000 to $49,999",14.8
"1481",2009,"Black Alone or in Combination",15212000,39119,821,55281,1014,"$50,000 to $74,999",16.3
"1482",2009,"Black Alone or in Combination",15212000,39119,821,55281,1014,"$75,000 to $99,999",9.8
"1483",2009,"Black Alone or in Combination",15212000,39119,821,55281,1014,"$100,000 to $149,999",9.1
"1484",2009,"Black Alone or in Combination",15212000,39119,821,55281,1014,"$150,000 to $199,999",2.9
"1485",2009,"Black Alone or in Combination",15212000,39119,821,55281,1014,"$200,000 and over",2.1
"1486",2008,"Black Alone or in Combination",15056000,40882,860,55563,956,"Under $15,000",19.4
"1487",2008,"Black Alone or in Combination",15056000,40882,860,55563,956,"$15,000 to $24,999",12.9
"1488",2008,"Black Alone or in Combination",15056000,40882,860,55563,956,"$25,000 to $34,999",11.7
"1489",2008,"Black Alone or in Combination",15056000,40882,860,55563,956,"$35,000 to $49,999",15.6
"1490",2008,"Black Alone or in Combination",15056000,40882,860,55563,956,"$50,000 to $74,999",16.7
"1491",2008,"Black Alone or in Combination",15056000,40882,860,55563,956,"$75,000 to $99,999",9.3
"1492",2008,"Black Alone or in Combination",15056000,40882,860,55563,956,"$100,000 to $149,999",9.3
"1493",2008,"Black Alone or in Combination",15056000,40882,860,55563,956,"$150,000 to $199,999",3.1
"1494",2008,"Black Alone or in Combination",15056000,40882,860,55563,956,"$200,000 and over",2.1
"1495",2007,"Black Alone or in Combination",14976000,42138,945,57885,1041,"Under $15,000",19.5
"1496",2007,"Black Alone or in Combination",14976000,42138,945,57885,1041,"$15,000 to $24,999",13.1
"1497",2007,"Black Alone or in Combination",14976000,42138,945,57885,1041,"$25,000 to $34,999",10.5
"1498",2007,"Black Alone or in Combination",14976000,42138,945,57885,1041,"$35,000 to $49,999",14.7
"1499",2007,"Black Alone or in Combination",14976000,42138,945,57885,1041,"$50,000 to $74,999",16.6
"1500",2007,"Black Alone or in Combination",14976000,42138,945,57885,1041,"$75,000 to $99,999",9.8
"1501",2007,"Black Alone or in Combination",14976000,42138,945,57885,1041,"$100,000 to $149,999",10.2
"1502",2007,"Black Alone or in Combination",14976000,42138,945,57885,1041,"$150,000 to $199,999",3.4
"1503",2007,"Black Alone or in Combination",14976000,42138,945,57885,1041,"$200,000 and over",2.2
"1504",2006,"Black Alone or in Combination",14709000,40843,498,57826,1167,"Under $15,000",18.9
"1505",2006,"Black Alone or in Combination",14709000,40843,498,57826,1167,"$15,000 to $24,999",12.9
"1506",2006,"Black Alone or in Combination",14709000,40843,498,57826,1167,"$25,000 to $34,999",11.4
"1507",2006,"Black Alone or in Combination",14709000,40843,498,57826,1167,"$35,000 to $49,999",14.9
"1508",2006,"Black Alone or in Combination",14709000,40843,498,57826,1167,"$50,000 to $74,999",16.9
"1509",2006,"Black Alone or in Combination",14709000,40843,498,57826,1167,"$75,000 to $99,999",9.6
"1510",2006,"Black Alone or in Combination",14709000,40843,498,57826,1167,"$100,000 to $149,999",9.8
"1511",2006,"Black Alone or in Combination",14709000,40843,498,57826,1167,"$150,000 to $199,999",3.3
"1512",2006,"Black Alone or in Combination",14709000,40843,498,57826,1167,"$200,000 and over",2.4
"1513",2005,"Black Alone or in Combination",14399000,40621,637,56071,1004,"Under $15,000",19.7
"1514",2005,"Black Alone or in Combination",14399000,40621,637,56071,1004,"$15,000 to $24,999",13.7
"1515",2005,"Black Alone or in Combination",14399000,40621,637,56071,1004,"$25,000 to $34,999",11.4
"1516",2005,"Black Alone or in Combination",14399000,40621,637,56071,1004,"$35,000 to $49,999",13.8
"1517",2005,"Black Alone or in Combination",14399000,40621,637,56071,1004,"$50,000 to $74,999",16.9
"1518",2005,"Black Alone or in Combination",14399000,40621,637,56071,1004,"$75,000 to $99,999",9.8
"1519",2005,"Black Alone or in Combination",14399000,40621,637,56071,1004,"$100,000 to $149,999",9.3
"1520",2005,"Black Alone or in Combination",14399000,40621,637,56071,1004,"$150,000 to $199,999",3.3
"1521",2005,"Black Alone or in Combination",14399000,40621,637,56071,1004,"$200,000 and over",2.1
"1522",2004,"Black Alone or in Combination",14151000,41022,618,55300,966,"Under $15,000",20.2
"1523",2004,"Black Alone or in Combination",14151000,41022,618,55300,966,"$15,000 to $24,999",12.1
"1524",2004,"Black Alone or in Combination",14151000,41022,618,55300,966,"$25,000 to $34,999",12.2
"1525",2004,"Black Alone or in Combination",14151000,41022,618,55300,966,"$35,000 to $49,999",14.6
"1526",2004,"Black Alone or in Combination",14151000,41022,618,55300,966,"$50,000 to $74,999",16.5
"1527",2004,"Black Alone or in Combination",14151000,41022,618,55300,966,"$75,000 to $99,999",10.1
"1528",2004,"Black Alone or in Combination",14151000,41022,618,55300,966,"$100,000 to $149,999",9.2
"1529",2004,"Black Alone or in Combination",14151000,41022,618,55300,966,"$150,000 to $199,999",3.1
"1530",2004,"Black Alone or in Combination",14151000,41022,618,55300,966,"$200,000 and over",2
"1531",2003,"Black Alone or in Combination",13969000,41369,855,56177,979,"Under $15,000",19.5
"1532",2003,"Black Alone or in Combination",13969000,41369,855,56177,979,"$15,000 to $24,999",12.8
"1533",2003,"Black Alone or in Combination",13969000,41369,855,56177,979,"$25,000 to $34,999",12
"1534",2003,"Black Alone or in Combination",13969000,41369,855,56177,979,"$35,000 to $49,999",13.6
"1535",2003,"Black Alone or in Combination",13969000,41369,855,56177,979,"$50,000 to $74,999",16.9
"1536",2003,"Black Alone or in Combination",13969000,41369,855,56177,979,"$75,000 to $99,999",10.3
"1537",2003,"Black Alone or in Combination",13969000,41369,855,56177,979,"$100,000 to $149,999",9.7
"1538",2003,"Black Alone or in Combination",13969000,41369,855,56177,979,"$150,000 to $199,999",3.1
"1539",2003,"Black Alone or in Combination",13969000,41369,855,56177,979,"$200,000 and over",2.1
"1540",2002,"Black Alone or in Combination",13778000,41579,900,57478,1102,"Under $15,000",19
"1541",2002,"Black Alone or in Combination",13778000,41579,900,57478,1102,"$15,000 to $24,999",13
"1542",2002,"Black Alone or in Combination",13778000,41579,900,57478,1102,"$25,000 to $34,999",11.1
"1543",2002,"Black Alone or in Combination",13778000,41579,900,57478,1102,"$35,000 to $49,999",15.8
"1544",2002,"Black Alone or in Combination",13778000,41579,900,57478,1102,"$50,000 to $74,999",16.2
"1545",2002,"Black Alone or in Combination",13778000,41579,900,57478,1102,"$75,000 to $99,999",9.8
"1546",2002,"Black Alone or in Combination",13778000,41579,900,57478,1102,"$100,000 to $149,999",9.6
"1547",2002,"Black Alone or in Combination",13778000,41579,900,57478,1102,"$150,000 to $199,999",3.3
"1548",2002,"Black Alone or in Combination",13778000,41579,900,57478,1102,"$200,000 and over",2.3
"1549",2019,"Black Alone",17054000,45438,1212,66553,1882,"Under $15,000",17.2
"1550",2019,"Black Alone",17054000,45438,1212,66553,1882,"$15,000 to $24,999",11.5
"1551",2019,"Black Alone",17054000,45438,1212,66553,1882,"$25,000 to $34,999",11.4
"1552",2019,"Black Alone",17054000,45438,1212,66553,1882,"$35,000 to $49,999",13.7
"1553",2019,"Black Alone",17054000,45438,1212,66553,1882,"$50,000 to $74,999",16.8
"1554",2019,"Black Alone",17054000,45438,1212,66553,1882,"$75,000 to $99,999",9.8
"1555",2019,"Black Alone",17054000,45438,1212,66553,1882,"$100,000 to $149,999",10.8
"1556",2019,"Black Alone",17054000,45438,1212,66553,1882,"$150,000 to $199,999",4.2
"1557",2019,"Black Alone",17054000,45438,1212,66553,1882,"$200,000 and over",4.6
"1558",2018,"Black Alone",17167000,42110,922,59728,1370,"Under $15,000",19.1
"1559",2018,"Black Alone",17167000,42110,922,59728,1370,"$15,000 to $24,999",12.6
"1560",2018,"Black Alone",17167000,42110,922,59728,1370,"$25,000 to $34,999",11.3
"1561",2018,"Black Alone",17167000,42110,922,59728,1370,"$35,000 to $49,999",13.9
"1562",2018,"Black Alone",17167000,42110,922,59728,1370,"$50,000 to $74,999",16.3
"1563",2018,"Black Alone",17167000,42110,922,59728,1370,"$75,000 to $99,999",9.7
"1564",2018,"Black Alone",17167000,42110,922,59728,1370,"$100,000 to $149,999",9.6
"1565",2018,"Black Alone",17167000,42110,922,59728,1370,"$150,000 to $199,999",4.2
"1566",2018,"Black Alone",17167000,42110,922,59728,1370,"$200,000 and over",3.3
"1567",2017,"Black Alone",16997000,41987,990,61109,1415,"Under $15,000",19.1
"1568",2017,"Black Alone",16997000,41987,990,61109,1415,"$15,000 to $24,999",12.2
"1569",2017,"Black Alone",16997000,41987,990,61109,1415,"$25,000 to $34,999",11.8
"1570",2017,"Black Alone",16997000,41987,990,61109,1415,"$35,000 to $49,999",13.9
"1571",2017,"Black Alone",16997000,41987,990,61109,1415,"$50,000 to $74,999",15.7
"1572",2017,"Black Alone",16997000,41987,990,61109,1415,"$75,000 to $99,999",10.3
"1573",2017,"Black Alone",16997000,41987,990,61109,1415,"$100,000 to $149,999",9.8
"1574",2017,"Black Alone",16997000,41987,990,61109,1415,"$150,000 to $199,999",3.7
"1575",2017,"Black Alone",16997000,41987,990,61109,1415,"$200,000 and over",3.4
"1576",2016,"Black Alone",16733000,42071,1264,61200,1633,"Under $15,000",19.6
"1577",2016,"Black Alone",16733000,42071,1264,61200,1633,"$15,000 to $24,999",12.4
"1578",2016,"Black Alone",16733000,42071,1264,61200,1633,"$25,000 to $34,999",11.4
"1579",2016,"Black Alone",16733000,42071,1264,61200,1633,"$35,000 to $49,999",13.6
"1580",2016,"Black Alone",16733000,42071,1264,61200,1633,"$50,000 to $74,999",16.7
"1581",2016,"Black Alone",16733000,42071,1264,61200,1633,"$75,000 to $99,999",9.7
"1582",2016,"Black Alone",16733000,42071,1264,61200,1633,"$100,000 to $149,999",9.7
"1583",2016,"Black Alone",16733000,42071,1264,61200,1633,"$150,000 to $199,999",3.8
"1584",2016,"Black Alone",16733000,42071,1264,61200,1633,"$200,000 and over",3.1
"1585",2015,"Black Alone",16539000,39817,911,58652,1528,"Under $15,000",20.3
"1586",2015,"Black Alone",16539000,39817,911,58652,1528,"$15,000 to $24,999",13.6
"1587",2015,"Black Alone",16539000,39817,911,58652,1528,"$25,000 to $34,999",11.7
"1588",2015,"Black Alone",16539000,39817,911,58652,1528,"$35,000 to $49,999",13
"1589",2015,"Black Alone",16539000,39817,911,58652,1528,"$50,000 to $74,999",15.6
"1590",2015,"Black Alone",16539000,39817,911,58652,1528,"$75,000 to $99,999",10
"1591",2015,"Black Alone",16539000,39817,911,58652,1528,"$100,000 to $149,999",9.3
"1592",2015,"Black Alone",16539000,39817,911,58652,1528,"$150,000 to $199,999",3.6
"1593",2015,"Black Alone",16539000,39817,911,58652,1528,"$200,000 and over",2.8
"1594",2014,"Black Alone",16437000,38264,820,55378,1229,"Under $15,000",20.8
"1595",2014,"Black Alone",16437000,38264,820,55378,1229,"$15,000 to $24,999",14
"1596",2014,"Black Alone",16437000,38264,820,55378,1229,"$25,000 to $34,999",12
"1597",2014,"Black Alone",16437000,38264,820,55378,1229,"$35,000 to $49,999",14.4
"1598",2014,"Black Alone",16437000,38264,820,55378,1229,"$50,000 to $74,999",15.4
"1599",2014,"Black Alone",16437000,38264,820,55378,1229,"$75,000 to $99,999",8.9
"1600",2014,"Black Alone",16437000,38264,820,55378,1229,"$100,000 to $149,999",8.7
"1601",2014,"Black Alone",16437000,38264,820,55378,1229,"$150,000 to $199,999",3.3
"1602",2014,"Black Alone",16437000,38264,820,55378,1229,"$200,000 and over",2.6
"1603",2013,"Black Alone",16009000,38831,1550,55463,2143,"Under $15,000",20.9
"1604",2013,"Black Alone",16009000,38831,1550,55463,2143,"$15,000 to $24,999",13.5
"1605",2013,"Black Alone",16009000,38831,1550,55463,2143,"$25,000 to $34,999",12
"1606",2013,"Black Alone",16009000,38831,1550,55463,2143,"$35,000 to $49,999",14.6
"1607",2013,"Black Alone",16009000,38831,1550,55463,2143,"$50,000 to $74,999",16.1
"1608",2013,"Black Alone",16009000,38831,1550,55463,2143,"$75,000 to $99,999",7.7
"1609",2013,"Black Alone",16009000,38831,1550,55463,2143,"$100,000 to $149,999",9.2
"1610",2013,"Black Alone",16009000,38831,1550,55463,2143,"$150,000 to $199,999",3.5
"1611",2013,"Black Alone",16009000,38831,1550,55463,2143,"$200,000 and over",2.4
"1612",2012,"Black Alone",15872000,37171,1450,53253,1382,"Under $15,000",21.7
"1613",2012,"Black Alone",15872000,37171,1450,53253,1382,"$15,000 to $24,999",14.3
"1614",2012,"Black Alone",15872000,37171,1450,53253,1382,"$25,000 to $34,999",11.7
"1615",2012,"Black Alone",15872000,37171,1450,53253,1382,"$35,000 to $49,999",13.3
"1616",2012,"Black Alone",15872000,37171,1450,53253,1382,"$50,000 to $74,999",16.5
"1617",2012,"Black Alone",15872000,37171,1450,53253,1382,"$75,000 to $99,999",8.9
"1618",2012,"Black Alone",15872000,37171,1450,53253,1382,"$100,000 to $149,999",8.6
"1619",2012,"Black Alone",15872000,37171,1450,53253,1382,"$150,000 to $199,999",3
"1620",2012,"Black Alone",15872000,37171,1450,53253,1382,"$200,000 and over",2.1
"1621",2011,"Black Alone",15583000,36715,954,53832,1505,"Under $15,000",22.6
"1622",2011,"Black Alone",15583000,36715,954,53832,1505,"$15,000 to $24,999",14
"1623",2011,"Black Alone",15583000,36715,954,53832,1505,"$25,000 to $34,999",11.7
"1624",2011,"Black Alone",15583000,36715,954,53832,1505,"$35,000 to $49,999",13.5
"1625",2011,"Black Alone",15583000,36715,954,53832,1505,"$50,000 to $74,999",15.5
"1626",2011,"Black Alone",15583000,36715,954,53832,1505,"$75,000 to $99,999",9
"1627",2011,"Black Alone",15583000,36715,954,53832,1505,"$100,000 to $149,999",8.4
"1628",2011,"Black Alone",15583000,36715,954,53832,1505,"$150,000 to $199,999",3.2
"1629",2011,"Black Alone",15583000,36715,954,53832,1505,"$200,000 and over",2.1
"1630",2010,"Black Alone",15265000,37749,965,52829,1210,"Under $15,000",22.1
"1631",2010,"Black Alone",15265000,37749,965,52829,1210,"$15,000 to $24,999",13.5
"1632",2010,"Black Alone",15265000,37749,965,52829,1210,"$25,000 to $34,999",11.3
"1633",2010,"Black Alone",15265000,37749,965,52829,1210,"$35,000 to $49,999",14.7
"1634",2010,"Black Alone",15265000,37749,965,52829,1210,"$50,000 to $74,999",15.3
"1635",2010,"Black Alone",15265000,37749,965,52829,1210,"$75,000 to $99,999",10.1
"1636",2010,"Black Alone",15265000,37749,965,52829,1210,"$100,000 to $149,999",8.1
"1637",2010,"Black Alone",15265000,37749,965,52829,1210,"$150,000 to $199,999",3
"1638",2010,"Black Alone",15265000,37749,965,52829,1210,"$200,000 and over",1.9
"1639",2009,"Black Alone",14730000,38921,774,55001,1032,"Under $15,000",19.7
"1640",2009,"Black Alone",14730000,38921,774,55001,1032,"$15,000 to $24,999",13.6
"1641",2009,"Black Alone",14730000,38921,774,55001,1032,"$25,000 to $34,999",11.8
"1642",2009,"Black Alone",14730000,38921,774,55001,1032,"$35,000 to $49,999",14.8
"1643",2009,"Black Alone",14730000,38921,774,55001,1032,"$50,000 to $74,999",16.2
"1644",2009,"Black Alone",14730000,38921,774,55001,1032,"$75,000 to $99,999",9.8
"1645",2009,"Black Alone",14730000,38921,774,55001,1032,"$100,000 to $149,999",9.1
"1646",2009,"Black Alone",14730000,38921,774,55001,1032,"$150,000 to $199,999",2.9
"1647",2009,"Black Alone",14730000,38921,774,55001,1032,"$200,000 and over",2
"1648",2008,"Black Alone",14595000,40731,864,55389,975,"Under $15,000",19.5
"1649",2008,"Black Alone",14595000,40731,864,55389,975,"$15,000 to $24,999",13
"1650",2008,"Black Alone",14595000,40731,864,55389,975,"$25,000 to $34,999",11.6
"1651",2008,"Black Alone",14595000,40731,864,55389,975,"$35,000 to $49,999",15.6
"1652",2008,"Black Alone",14595000,40731,864,55389,975,"$50,000 to $74,999",16.6
"1653",2008,"Black Alone",14595000,40731,864,55389,975,"$75,000 to $99,999",9.3
"1654",2008,"Black Alone",14595000,40731,864,55389,975,"$100,000 to $149,999",9.2
"1655",2008,"Black Alone",14595000,40731,864,55389,975,"$150,000 to $199,999",3.1
"1656",2008,"Black Alone",14595000,40731,864,55389,975,"$200,000 and over",2
"1657",2007,"Black Alone",14551000,41922,966,57638,1057,"Under $15,000",19.6
"1658",2007,"Black Alone",14551000,41922,966,57638,1057,"$15,000 to $24,999",13.1
"1659",2007,"Black Alone",14551000,41922,966,57638,1057,"$25,000 to $34,999",10.5
"1660",2007,"Black Alone",14551000,41922,966,57638,1057,"$35,000 to $49,999",14.7
"1661",2007,"Black Alone",14551000,41922,966,57638,1057,"$50,000 to $74,999",16.7
"1662",2007,"Black Alone",14551000,41922,966,57638,1057,"$75,000 to $99,999",9.8
"1663",2007,"Black Alone",14551000,41922,966,57638,1057,"$100,000 to $149,999",10
"1664",2007,"Black Alone",14551000,41922,966,57638,1057,"$150,000 to $199,999",3.4
"1665",2007,"Black Alone",14551000,41922,966,57638,1057,"$200,000 and over",2.1
"1666",2006,"Black Alone",14354000,40636,504,57361,1167,"Under $15,000",19.1
"1667",2006,"Black Alone",14354000,40636,504,57361,1167,"$15,000 to $24,999",12.9
"1668",2006,"Black Alone",14354000,40636,504,57361,1167,"$25,000 to $34,999",11.5
"1669",2006,"Black Alone",14354000,40636,504,57361,1167,"$35,000 to $49,999",14.9
"1670",2006,"Black Alone",14354000,40636,504,57361,1167,"$50,000 to $74,999",16.8
"1671",2006,"Black Alone",14354000,40636,504,57361,1167,"$75,000 to $99,999",9.6
"1672",2006,"Black Alone",14354000,40636,504,57361,1167,"$100,000 to $149,999",9.7
"1673",2006,"Black Alone",14354000,40636,504,57361,1167,"$150,000 to $199,999",3.3
"1674",2006,"Black Alone",14354000,40636,504,57361,1167,"$200,000 and over",2.3
"1675",2005,"Black Alone",14002000,40495,650,55713,995,"Under $15,000",19.8
"1676",2005,"Black Alone",14002000,40495,650,55713,995,"$15,000 to $24,999",13.7
"1677",2005,"Black Alone",14002000,40495,650,55713,995,"$25,000 to $34,999",11.4
"1678",2005,"Black Alone",14002000,40495,650,55713,995,"$35,000 to $49,999",13.8
"1679",2005,"Black Alone",14002000,40495,650,55713,995,"$50,000 to $74,999",16.9
"1680",2005,"Black Alone",14002000,40495,650,55713,995,"$75,000 to $99,999",9.8
"1681",2005,"Black Alone",14002000,40495,650,55713,995,"$100,000 to $149,999",9.2
"1682",2005,"Black Alone",14002000,40495,650,55713,995,"$150,000 to $199,999",3.3
"1683",2005,"Black Alone",14002000,40495,650,55713,995,"$200,000 and over",2.1
"1684",2004,"Black Alone",13809000,40832,699,55129,982,"Under $15,000",20.3
"1685",2004,"Black Alone",13809000,40832,699,55129,982,"$15,000 to $24,999",12.1
"1686",2004,"Black Alone",13809000,40832,699,55129,982,"$25,000 to $34,999",12.3
"1687",2004,"Black Alone",13809000,40832,699,55129,982,"$35,000 to $49,999",14.7
"1688",2004,"Black Alone",13809000,40832,699,55129,982,"$50,000 to $74,999",16.3
"1689",2004,"Black Alone",13809000,40832,699,55129,982,"$75,000 to $99,999",10.1
"1690",2004,"Black Alone",13809000,40832,699,55129,982,"$100,000 to $149,999",9.1
"1691",2004,"Black Alone",13809000,40832,699,55129,982,"$150,000 to $199,999",3
"1692",2004,"Black Alone",13809000,40832,699,55129,982,"$200,000 and over",2
"1693",2003,"Black Alone",13629000,41308,885,55919,986,"Under $15,000",19.6
"1694",2003,"Black Alone",13629000,41308,885,55919,986,"$15,000 to $24,999",12.8
"1695",2003,"Black Alone",13629000,41308,885,55919,986,"$25,000 to $34,999",12
"1696",2003,"Black Alone",13629000,41308,885,55919,986,"$35,000 to $49,999",13.7
"1697",2003,"Black Alone",13629000,41308,885,55919,986,"$50,000 to $74,999",16.9
"1698",2003,"Black Alone",13629000,41308,885,55919,986,"$75,000 to $99,999",10.2
"1699",2003,"Black Alone",13629000,41308,885,55919,986,"$100,000 to $149,999",9.7
"1700",2003,"Black Alone",13629000,41308,885,55919,986,"$150,000 to $199,999",3.1
"1701",2003,"Black Alone",13629000,41308,885,55919,986,"$200,000 and over",2.1
"1702",2002,"Black Alone",13465000,41364,917,57018,1083,"Under $15,000",19
"1703",2002,"Black Alone",13465000,41364,917,57018,1083,"$15,000 to $24,999",13
"1704",2002,"Black Alone",13465000,41364,917,57018,1083,"$25,000 to $34,999",11.1
"1705",2002,"Black Alone",13465000,41364,917,57018,1083,"$35,000 to $49,999",15.8
"1706",2002,"Black Alone",13465000,41364,917,57018,1083,"$50,000 to $74,999",16.1
"1707",2002,"Black Alone",13465000,41364,917,57018,1083,"$75,000 to $99,999",9.8
"1708",2002,"Black Alone",13465000,41364,917,57018,1083,"$100,000 to $149,999",9.6
"1709",2002,"Black Alone",13465000,41364,917,57018,1083,"$150,000 to $199,999",3.2
"1710",2002,"Black Alone",13465000,41364,917,57018,1083,"$200,000 and over",2.3
"1711",2001,"Black Alone",13315000,42658,826,56812,986,"Under $15,000",18.8
"1712",2001,"Black Alone",13315000,42658,826,56812,986,"$15,000 to $24,999",12.3
"1713",2001,"Black Alone",13315000,42658,826,56812,986,"$25,000 to $34,999",10.9
"1714",2001,"Black Alone",13315000,42658,826,56812,986,"$35,000 to $49,999",14.8
"1715",2001,"Black Alone",13315000,42658,826,56812,986,"$50,000 to $74,999",17.3
"1716",2001,"Black Alone",13315000,42658,826,56812,986,"$75,000 to $99,999",10.5
"1717",2001,"Black Alone",13315000,42658,826,56812,986,"$100,000 to $149,999",10.4
"1718",2001,"Black Alone",13315000,42658,826,56812,986,"$150,000 to $199,999",3
"1719",2001,"Black Alone",13315000,42658,826,56812,986,"$200,000 and over",1.8
"1720",2000,"Black Alone",13174000,44166,962,58325,972,"Under $15,000",17.6
"1721",2000,"Black Alone",13174000,44166,962,58325,972,"$15,000 to $24,999",11.9
"1722",2000,"Black Alone",13174000,44166,962,58325,972,"$25,000 to $34,999",11.5
"1723",2000,"Black Alone",13174000,44166,962,58325,972,"$35,000 to $49,999",14.5
"1724",2000,"Black Alone",13174000,44166,962,58325,972,"$50,000 to $74,999",18.1
"1725",2000,"Black Alone",13174000,44166,962,58325,972,"$75,000 to $99,999",11.1
"1726",2000,"Black Alone",13174000,44166,962,58325,972,"$100,000 to $149,999",9.5
"1727",2000,"Black Alone",13174000,44166,962,58325,972,"$150,000 to $199,999",3.9
"1728",2000,"Black Alone",13174000,44166,962,58325,972,"$200,000 and over",2
"1729",1999,"Black Alone",12838000,42960,1317,59203,1398,"Under $15,000",18
"1730",1999,"Black Alone",12838000,42960,1317,59203,1398,"$15,000 to $24,999",12.8
"1731",1999,"Black Alone",12838000,42960,1317,59203,1398,"$25,000 to $34,999",10.9
"1732",1999,"Black Alone",12838000,42960,1317,59203,1398,"$35,000 to $49,999",14.6
