"","year","race","dollar_type","income_quintile","income_dollars"
"303",1969,"All Races","Current Dollars","Middle",8335
"304",1969,"All Races","Current Dollars","Fourth",11675
"305",1969,"All Races","Current Dollars","Highest",20520
"306",1969,"All Races","Current Dollars","Top 5%",31585
"307",1968,"All Races","Current Dollars","Lowest",1806
"308",1968,"All Races","Current Dollars","Second",4842
"309",1968,"All Races","Current Dollars","Middle",7680
"310",1968,"All Races","Current Dollars","Fourth",10713
"311",1968,"All Races","Current Dollars","Highest",18616
"312",1968,"All Races","Current Dollars","Top 5%",28461
"313",1967,"All Races","Current Dollars","Lowest",1600
"314",1967,"All Races","Current Dollars","Second",4433
"315",1967,"All Races","Current Dollars","Middle",7077
"316",1967,"All Races","Current Dollars","Fourth",9902
"317",1967,"All Races","Current Dollars","Highest",17820
"318",1967,"All Races","Current Dollars","Top 5%",28110
"319",2019,"All Races","2019 Dollars","Lowest",15286
"320",2019,"All Races","2019 Dollars","Second",40652
"321",2019,"All Races","2019 Dollars","Middle",68938
"322",2019,"All Races","2019 Dollars","Fourth",111112
"323",2019,"All Races","2019 Dollars","Highest",254449
"324",2019,"All Races","2019 Dollars","Top 5%",451122
"325",2018,"All Races","2019 Dollars","Lowest",14025
"326",2018,"All Races","2019 Dollars","Second",37969
"327",2018,"All Races","2019 Dollars","Middle",64724
"328",2018,"All Races","2019 Dollars","Fourth",103410
"329",2018,"All Races","2019 Dollars","Highest",238133
"330",2018,"All Races","2019 Dollars","Top 5%",424066
"331",2017,"All Races","2019 Dollars","Lowest",13827
"332",2017,"All Races","2019 Dollars","Second",36921
"333",2017,"All Races","2019 Dollars","Middle",64207
"334",2017,"All Races","2019 Dollars","Fourth",103282
"335",2017,"All Races","2019 Dollars","Highest",231371
"336",2017,"All Races","2019 Dollars","Top 5%",401832
"337",2016,"All Races","2019 Dollars","Lowest",13789
"338",2016,"All Races","2019 Dollars","Second",36759
"339",2016,"All Races","2019 Dollars","Middle",63015
"340",2016,"All Races","2019 Dollars","Fourth",101399
"341",2016,"All Races","2019 Dollars","Highest",227925
"342",2016,"All Races","2019 Dollars","Top 5%",399606
"343",2015,"All Races","2019 Dollars","Lowest",13442
"344",2015,"All Races","2019 Dollars","Second",35212
"345",2015,"All Races","2019 Dollars","Middle",61328
"346",2015,"All Races","2019 Dollars","Fourth",99311
"347",2015,"All Races","2019 Dollars","Highest",218374
"348",2015,"All Races","2019 Dollars","Top 5%",378626
"349",2014,"All Races","2019 Dollars","Lowest",12621
"350",2014,"All Races","2019 Dollars","Second",33604
"351",2014,"All Races","2019 Dollars","Middle",58416
"352",2014,"All Races","2019 Dollars","Fourth",94945
"353",2014,"All Races","2019 Dollars","Highest",209764
"354",2014,"All Races","2019 Dollars","Top 5%",359255
"355",2013,"All Races","2019 Dollars","Lowest",12745
"356",2013,"All Races","2019 Dollars","Second",33871
"357",2013,"All Races","2019 Dollars","Middle",59076
"358",2013,"All Races","2019 Dollars","Fourth",95057
"359",2013,"All Races","2019 Dollars","Highest",212546
"360",2013,"All Races","2019 Dollars","Top 5%",367667
"361",2012,"All Races","2019 Dollars","Lowest",12818
"362",2012,"All Races","2019 Dollars","Second",33128
"363",2012,"All Races","2019 Dollars","Middle",57093
"364",2012,"All Races","2019 Dollars","Fourth",91585
"365",2012,"All Races","2019 Dollars","Highest",202925
"366",2012,"All Races","2019 Dollars","Top 5%",354805
"367",2011,"All Races","2019 Dollars","Lowest",12803
"368",2011,"All Races","2019 Dollars","Second",33269
"369",2011,"All Races","2019 Dollars","Middle",56779
"370",2011,"All Races","2019 Dollars","Fourth",91226
"371",2011,"All Races","2019 Dollars","Highest",202797
"372",2011,"All Races","2019 Dollars","Top 5%",354792
"373",2010,"All Races","2019 Dollars","Lowest",12919
"374",2010,"All Races","2019 Dollars","Second",33528
"375",2010,"All Races","2019 Dollars","Middle",57776
"376",2010,"All Races","2019 Dollars","Fourth",92688
"377",2010,"All Races","2019 Dollars","Highest",199050
"378",2010,"All Races","2019 Dollars","Top 5%",337488
"379",2009,"All Races","2019 Dollars","Lowest",13799
"380",2009,"All Races","2019 Dollars","Second",34947
"381",2009,"All Races","2019 Dollars","Middle",59167
"382",2009,"All Races","2019 Dollars","Fourth",93998
"383",2009,"All Races","2019 Dollars","Highest",204070
"384",2009,"All Races","2019 Dollars","Top 5%",352835
"385",2008,"All Races","2019 Dollars","Lowest",13874
"386",2008,"All Races","2019 Dollars","Second",35135
"387",2008,"All Races","2019 Dollars","Middle",59673
"388",2008,"All Races","2019 Dollars","Fourth",94940
"389",2008,"All Races","2019 Dollars","Highest",203614
"390",2008,"All Races","2019 Dollars","Top 5%",350800
"391",2007,"All Races","2019 Dollars","Lowest",14278
"392",2007,"All Races","2019 Dollars","Second",36392
"393",2007,"All Races","2019 Dollars","Middle",61763
"394",2007,"All Races","2019 Dollars","Fourth",97785
"395",2007,"All Races","2019 Dollars","Highest",207620
"396",2007,"All Races","2019 Dollars","Top 5%",354982
"397",2006,"All Races","2019 Dollars","Lowest",14430
"398",2006,"All Races","2019 Dollars","Second",36578
"399",2006,"All Races","2019 Dollars","Middle",61296
"400",2006,"All Races","2019 Dollars","Fourth",97022
"401",2006,"All Races","2019 Dollars","Highest",213761
"402",2006,"All Races","2019 Dollars","Top 5%",378032
"403",2005,"All Races","2019 Dollars","Lowest",13983
"404",2005,"All Races","2019 Dollars","Second",35901
"405",2005,"All Races","2019 Dollars","Middle",60761
"406",2005,"All Races","2019 Dollars","Fourth",95569
"407",2005,"All Races","2019 Dollars","Highest",209421
"408",2005,"All Races","2019 Dollars","Top 5%",368961
"409",2004,"All Races","2019 Dollars","Lowest",13899
"410",2004,"All Races","2019 Dollars","Second",35563
"411",2004,"All Races","2019 Dollars","Middle",60255
"412",2004,"All Races","2019 Dollars","Fourth",95008
"413",2004,"All Races","2019 Dollars","Highest",205465
